DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE,YEAR,MONTH,DAY,DAY_OF_WEEK,Actual Production,Predicted Production,Forecast Error,Absolute Error,Percentage Error
2016-01-11,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,27.07760375,18.90143125,100.0,%,27.07760375,79.19762604166667,0.8069704166666667,328.19,52427.52,1295.67,production,OP,2016,1,11,0,328.19,320.054966918396,8.135033081603979,8.135033081603979,2.478757147263469
2012-01-04,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,,,,,,0.0,,,,injection,WI,2012,1,4,2,557.55,557.4454052631883,0.10459473681169129,0.10459473681169129,0.01875970528413439
2010-06-07,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,249.35553020833333,106.76358333333333,201.676661875,0.0,66.77535541666667,%,47.678868333333334,93.03664375,14.163501458333334,2696.27,386090.76,3162.89,production,OP,2010,6,7,0,2696.27,2682.622884578595,13.647115421405033,13.647115421405033,0.5061479533357205
2014-08-24,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,299.65543,104.73582,299.54066,0.0,0.81278,%,0.11477,19.74894,0.12203,0.0,0.0,0.0,production,OP,2014,8,24,6,0.0,0.009395833333333332,-0.009395833333333332,0.009395833333333332,inf
2015-07-14,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2015,7,14,1,557.55,557.4963676636537,0.053632336346254306,0.053632336346254306,0.00961928730091549
2009-08-20,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2009,8,20,3,557.55,557.4956709567771,0.05432904322287868,0.05432904322287868,0.009744245937203602
2015-03-30,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2015,3,30,0,557.55,557.5220340148937,0.027965985106220614,0.027965985106220614,0.005015870344582659
2015-01-31,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,210.03960958333334,106.18603770833333,164.56984416666666,18.51033333333333,14.248575,%,45.46976541666667,68.12785083333333,17.098991458333334,907.74,132052.24,507.44,production,OP,2015,1,31,5,907.74,946.0371278796446,-38.29712787964456,38.29712787964456,4.2189534315602
2014-03-24,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,6.39167,,,,,,,,,0.0,,,,injection,WI,2014,3,24,0,557.55,557.4956709567758,0.054329043224129236,0.054329043224129236,0.009744245937427896
2010-06-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,249.599205,106.7458,201.692484375,0.0,66.29359666666667,%,47.906720625,92.90210791666667,14.419705208333333,2623.48,374702.75,2951.56,production,OP,2010,6,13,6,2623.48,2641.114742894124,-17.634742894123974,17.634742894123974,0.6721889587160556
2008-12-30,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,248.52658770833332,105.25311145833334,157.19703125,,33.420732083333334,%,91.32955645833333,77.94535354166666,58.699726875,3451.08,503361.46,1.09,production,OP,2008,12,30,1,3451.08,3464.10711383784,-13.027113837840261,13.027113837840261,0.3774793351020626
2012-08-25,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,,,,,,0.0,,,,injection,WI,2012,8,25,5,557.55,557.4454052631885,0.10459473681146392,0.10459473681146392,0.018759705284093608
2011-01-09,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,53.57460708333333,21.846113958333333,49.47380520833333,%,53.57460708333333,87.65051333333334,20.986896875,1494.08,227605.35,3633.71,production,OP,2011,1,9,6,1494.08,1484.356775589826,9.723224410173998,9.723224410173998,0.6507833857741218
2013-01-31,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,242.01413770833332,101.18149020833333,209.326304375,22.336822291666667,87.36335729166667,%,32.68783333333333,88.47985458333333,3.6972885416666665,972.83,150629.57,3133.93,production,OP,2013,1,31,3,972.83,953.8506866944773,18.979313305522737,18.979313305522737,1.9509383248381256
2008-02-29,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,,,,,,0.0,,,,injection,WI,2008,2,29,4,557.55,557.4480817936499,0.10191820635009208,0.10191820635009208,0.0182796531880714
